,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
6689,WTB,WHITBREAD PLC,Consumer Discretionary,Equity,"23,803,968.88",0.04,"23,803,968.88","617,117.00",38.57,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6690,AGS,AGEAS SA,Financials,Equity,"23,749,187.17",0.04,"23,749,187.17","502,149.00",47.30,Belgium,Nyse Euronext - Euronext Brussels,USD,0.92,EUR,-,EFA,20240612
6691,NIBE B,NIBE INDUSTRIER CLASS B,Industrials,Equity,"23,673,591.19",0.04,"23,673,591.19","4,771,002.00",4.96,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6692,CRDA,CRODA INTERNATIONAL PLC,Materials,Equity,"23,634,451.06",0.04,"23,634,451.06","431,058.00",54.83,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6693,1113,CK ASSET HOLDINGS LTD,Real Estate,Equity,"23,526,269.83",0.04,"23,526,269.83","6,144,684.00",3.83,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.81,HKD,-,EFA,20240612
6694,C6L,SINGAPORE AIRLINES LTD,Industrials,Equity,"23,491,788.12",0.04,"23,491,788.12","4,691,900.00",5.01,Singapore,Singapore Exchange,USD,1.34,SGD,-,EFA,20240612
6695,SKF B,SKF B,Industrials,Equity,"23,377,245.15",0.04,"23,377,245.15","1,080,972.00",21.63,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6696,AUD,AUD CASH,Cash and/or Derivatives,Cash,"23,212,556.66",0.04,"23,212,556.66","34,684,433.00",66.92,Australia,-,USD,1.49,AUD,-,EFA,20240612
6697,TRYG,TRYG,Financials,Equity,"23,204,533.89",0.04,"23,204,533.89","1,100,375.00",21.09,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.88,DKK,-,EFA,20240612
6698,CON,CONTINENTAL AG,Consumer Discretionary,Equity,"22,916,920.46",0.04,"22,916,920.46","347,132.00",66.02,Germany,Xetra,USD,0.92,EUR,-,EFA,20240612
6699,FGR,EIFFAGE SA,Industrials,Equity,"22,920,478.96",0.04,"22,920,478.96","231,940.00",98.82,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240612
6700,1812,KAJIMA CORP,Industrials,Equity,"22,848,467.54",0.04,"22,848,467.54","1,323,300.00",17.27,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6701,4188,MITSUBISHI CHEMICAL GROUP CORP,Materials,Equity,"22,834,209.57",0.04,"22,834,209.57","4,325,700.00",5.28,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6702,DCC,DCC PLC,Industrials,Equity,"22,781,312.06",0.04,"22,781,312.06","312,355.00",72.93,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6703,SPSN,SWISS PRIME SITE AG,Real Estate,Equity,"22,762,771.52",0.04,"22,762,771.52","242,431.00",93.89,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6704,BN4,KEPPEL LTD,Industrials,Equity,"22,749,377.67",0.04,"22,749,377.67","4,647,200.00",4.90,Singapore,Singapore Exchange,USD,1.34,SGD,-,EFA,20240612
6705,SGP,STOCKLAND STAPLED UNITS LTD,Real Estate,Equity,"22,735,703.22",0.04,"22,735,703.22","7,617,021.00",2.98,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6706,APA,APA GROUP UNITS,Utilities,Equity,"22,570,175.01",0.04,"22,570,175.01","4,048,569.00",5.57,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6707,9766,KONAMI GROUP CORP,Communication,Equity,"22,546,808.31",0.04,"22,546,808.31","320,500.00",70.35,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
